               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11532,            0.037841,            0.038981,          0.00068324,               0.075,          0.00061901,          0.00010273,              0.1044,            0.028301,            0.036809,              0.0892,              0.0012,              0.0012
                   1,             0.10315,              0.0397,            0.034354,           0.0048995,             0.52222,            0.028673,           0.0060205,            0.094442,            0.027706,            0.029807,            0.077492,           0.0024918,           0.0024918
                   2,            0.092508,             0.03891,            0.029664,            0.056451,             0.16111,            0.063332,            0.015023,            0.089647,            0.024996,            0.020695,            0.065775,           0.0037749,           0.0037749
                   3,            0.082524,            0.042967,            0.024164,             0.70149,             0.30949,             0.26176,             0.08463,            0.076349,            0.024177,             0.01066,             0.05405,           0.0050495,           0.0050495
                   4,            0.085745,             0.03784,            0.020955,             0.85212,             0.18333,             0.25402,            0.068903,            0.094536,            0.022938,            0.011079,            0.042316,           0.0063155,           0.0063155
                   5,             0.08181,            0.041728,            0.018054,              0.9027,             0.19444,             0.24591,            0.068929,            0.065165,            0.026516,           0.0071517,            0.030573,            0.007573,            0.007573
                   6,            0.077545,             0.03837,            0.016121,             0.71033,            0.077778,             0.02967,           0.0054528,            0.090537,            0.024794,           0.0053628,            0.018822,           0.0088218,           0.0088218
                   7,            0.084785,            0.033622,            0.014198,             0.41449,             0.19306,            0.062418,            0.011827,            0.088304,            0.022832,           0.0098967,            0.009769,            0.009769,            0.009769
                   8,             0.07546,            0.035582,            0.012908,             0.35826,             0.42778,             0.28545,            0.067097,            0.071048,            0.022416,           0.0052075,            0.009769,            0.009769,            0.009769
                   9,            0.070716,            0.035427,             0.01149,             0.23646,             0.37546,             0.20372,            0.063174,            0.089656,            0.017266,           0.0047389,            0.009736,            0.009736,            0.009736
                  10,            0.070139,            0.034447,            0.010843,             0.51618,                0.35,             0.20688,            0.070766,             0.08185,             0.02198,           0.0029189,            0.009703,            0.009703,            0.009703
