               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11214,            0.036676,            0.039499,            0.003378,             0.40603,           0.0062275,           0.0012716,            0.099766,            0.022784,            0.037659,              0.0892,              0.0012,              0.0012
                   1,            0.096218,            0.040383,            0.033004,           0.0035053,             0.48569,            0.023648,           0.0049099,            0.089178,            0.020998,            0.034482,            0.077484,           0.0024835,           0.0024835
                   2,            0.082699,            0.043204,            0.026303,           0.0029918,             0.49152,            0.024049,           0.0064973,            0.081894,            0.020988,            0.033455,             0.06575,           0.0037498,           0.0037498
                   3,            0.078538,            0.041569,            0.021693,            0.035212,              0.1702,            0.020981,           0.0057889,            0.085092,            0.019174,            0.030524,            0.053999,            0.004999,            0.004999
                   4,            0.079827,             0.03722,            0.017713,             0.69242,            0.098039,            0.032944,           0.0090806,            0.081533,            0.021334,            0.027189,            0.042231,            0.006231,            0.006231
                   5,             0.07772,            0.036781,            0.015123,             0.41388,              0.2502,             0.17996,            0.039139,            0.076534,            0.020024,            0.023625,            0.030446,           0.0074459,           0.0074459
                   6,            0.078022,            0.033892,            0.013691,             0.16533,             0.23762,             0.13242,            0.036721,            0.084237,            0.017885,             0.02079,            0.018644,           0.0086436,           0.0086436
                   7,            0.078535,            0.033191,            0.011971,              0.3348,             0.19593,             0.15382,            0.060139,            0.081515,            0.022443,            0.019882,            0.009538,            0.009538,            0.009538
                   8,            0.079688,            0.029768,            0.010035,             0.47059,             0.22347,             0.26008,            0.073472,            0.080511,            0.015805,            0.017354,            0.009538,            0.009538,            0.009538
                   9,            0.070635,            0.031564,           0.0090471,             0.13387,             0.28142,            0.095604,            0.029994,            0.073868,            0.019926,            0.018636,            0.009472,            0.009472,            0.009472
                  10,            0.065761,            0.032094,           0.0090362,             0.20369,             0.38348,              0.2664,             0.10507,              0.0654,            0.016199,            0.018192,            0.009406,            0.009406,            0.009406
