               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11124,            0.043752,            0.038791,           0.0016429,             0.19048,           0.0021852,          0.00045572,            0.094505,            0.026704,            0.038627,              0.0901,              0.0011,              0.0011
                   1,            0.094126,            0.046573,            0.033828,           0.0029763,             0.41429,            0.067895,            0.013082,             0.08158,            0.025495,            0.033257,            0.079292,           0.0022924,           0.0022924
                   2,            0.087343,            0.049582,            0.028181,             0.51814,             0.17143,            0.087773,            0.038095,             0.07832,            0.022358,            0.026899,            0.068477,           0.0034769,           0.0034769
                   3,            0.080926,             0.04871,            0.023473,            0.072826,             0.21587,            0.043115,           0.0091243,            0.075969,            0.020154,            0.023852,            0.057653,           0.0046535,           0.0046535
                   4,            0.080833,            0.046263,            0.018979,             0.70529,             0.23767,             0.22706,            0.074414,            0.073943,            0.018528,            0.020683,            0.046822,           0.0058221,           0.0058221
                   5,            0.086192,            0.036193,            0.014408,             0.46463,             0.13016,              0.1478,             0.04517,            0.081481,            0.014922,            0.018094,            0.035983,           0.0069829,           0.0069829
                   6,            0.082141,            0.037351,            0.012385,             0.40285,             0.38463,             0.34411,            0.083497,            0.077281,            0.014162,            0.018323,            0.025136,           0.0081357,           0.0081357
                   7,            0.091602,            0.031426,            0.010581,             0.57775,             0.44263,             0.40264,             0.11454,            0.091992,            0.011098,            0.018198,            0.014281,           0.0092806,           0.0092806
                   8,             0.08956,            0.027648,            0.010299,             0.40653,             0.46032,             0.33591,             0.10061,            0.085492,            0.013185,            0.017613,            0.009736,            0.009736,            0.009736
                   9,            0.085701,            0.025548,           0.0080674,             0.65717,             0.46032,             0.54116,             0.18323,            0.081316,            0.011977,            0.017983,            0.009736,            0.009736,            0.009736
                  10,            0.077884,            0.029698,           0.0066871,             0.44587,             0.36667,             0.35809,             0.13645,            0.077195,            0.014165,            0.017967,            0.009703,            0.009703,            0.009703
