               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11153,            0.031028,            0.056631,           0.0023305,             0.41217,           0.0085027,           0.0026384,            0.097437,            0.020194,            0.051676,              0.0802,              0.0022,              0.0022
                   1,            0.084879,            0.032501,            0.044628,              0.2213,             0.10667,            0.027148,           0.0056453,            0.074193,            0.017452,            0.035343,            0.059485,           0.0044852,           0.0044852
                   2,            0.070787,            0.033395,            0.036113,             0.00807,             0.32778,            0.035159,            0.017531,            0.080524,            0.020201,            0.036588,            0.038755,           0.0067551,           0.0067551
                   3,            0.071323,            0.030934,            0.031819,             0.26932,             0.17714,             0.10233,            0.044538,            0.074899,            0.015401,            0.032395,             0.01801,           0.0090099,           0.0090099
                   4,            0.067487,            0.031189,            0.029663,             0.44199,            0.048571,            0.049786,            0.013021,             0.07153,            0.016319,            0.032421,            0.009868,            0.009868,            0.009868
                   5,            0.063789,            0.030116,            0.027619,             0.50248,            0.072507,            0.060747,            0.021045,            0.078453,            0.016201,             0.02737,            0.009868,            0.009868,            0.009868
                   6,            0.061399,            0.030018,            0.024763,             0.51681,             0.23048,             0.12489,            0.047511,            0.061354,            0.015457,            0.022573,            0.009835,            0.009835,            0.009835
                   7,            0.057668,              0.0277,            0.024461,             0.23314,              0.2019,             0.16354,            0.060888,            0.055466,            0.014452,            0.018713,            0.009802,            0.009802,            0.009802
                   8,            0.057303,            0.029164,            0.020798,             0.53587,             0.13524,             0.15238,            0.065455,            0.062018,            0.015377,            0.013954,            0.009769,            0.009769,            0.009769
                   9,            0.054098,            0.028612,            0.018765,             0.71696,            0.090476,            0.097907,            0.037866,            0.053411,            0.015614,            0.017161,            0.009736,            0.009736,            0.009736
                  10,            0.053571,            0.026874,            0.018195,             0.78726,             0.10149,             0.17242,            0.055897,            0.059222,            0.017517,            0.019743,            0.009703,            0.009703,            0.009703
                  11,            0.049934,            0.026867,            0.015664,             0.47609,             0.22456,              0.2064,            0.099015,            0.062176,            0.014802,            0.020799,             0.00967,             0.00967,             0.00967
                  12,            0.050614,            0.026627,            0.014593,             0.62784,             0.15032,                0.18,            0.088446,            0.053066,            0.014917,            0.017932,            0.009637,            0.009637,            0.009637
                  13,            0.051237,             0.02736,            0.014332,             0.67545,             0.17905,             0.28978,             0.13978,            0.061743,            0.014675,            0.014972,            0.009604,            0.009604,            0.009604
                  14,            0.048177,            0.026633,            0.012172,             0.44419,             0.27881,             0.24468,              0.1215,            0.055431,            0.017226,            0.013365,            0.009571,            0.009571,            0.009571
                  15,            0.046829,            0.024797,            0.012262,             0.32805,             0.48759,             0.38047,             0.17088,            0.057813,            0.012455,            0.014878,            0.009538,            0.009538,            0.009538
                  16,            0.048444,            0.025193,            0.011996,             0.50106,             0.41619,               0.412,              0.1715,            0.056458,            0.019259,            0.015798,            0.009505,            0.009505,            0.009505
