               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12346,            0.039012,                   0,           0.0011111,             0.16667,          0.00068777,          0.00027511,             0.11891,            0.029181,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.11031,            0.039504,                   0,           0.0038095,             0.57143,            0.020291,           0.0034293,            0.094981,            0.027255,                   0,            0.084694,           0.0016944,           0.0016944
                   2,            0.097847,            0.039376,                   0,           0.0097821,             0.57143,            0.023472,           0.0050463,            0.088021,            0.026286,                   0,            0.076583,           0.0025828,           0.0025828
                   3,            0.088353,             0.04288,                   0,            0.077577,              0.1666,            0.046217,            0.012891,            0.083185,            0.025078,                   0,            0.068465,           0.0034654,           0.0034654
                   4,            0.083182,             0.04288,                   0,             0.21082,             0.38889,             0.15021,            0.045574,            0.072701,            0.025043,                   0,            0.060342,           0.0043419,           0.0043419
                   5,            0.074846,            0.042468,                   0,             0.10562,             0.20988,             0.06023,            0.017913,            0.078665,            0.030791,                   0,            0.052213,           0.0052126,           0.0052126
                   6,            0.078877,            0.036455,                   0,            0.081466,             0.22222,            0.078295,            0.024022,            0.080052,            0.026636,                   0,            0.044077,           0.0060772,           0.0060772
                   7,            0.074555,            0.035038,                   0,             0.40631,             0.33333,             0.31861,             0.10723,            0.079731,            0.020269,                   0,            0.035936,            0.006936,            0.006936
                   8,            0.072286,            0.033521,                   0,             0.15368,             0.38095,             0.16394,            0.051063,            0.065299,            0.019901,                   0,            0.027789,           0.0077888,           0.0077888
                   9,            0.072521,            0.032202,                   0,             0.21531,             0.26984,             0.17808,             0.04635,            0.076902,            0.019291,                   0,            0.019636,           0.0086357,           0.0086357
                  10,            0.080264,            0.028623,                   0,             0.30934,             0.32349,             0.26043,             0.10163,            0.090962,            0.019409,                   0,            0.011477,           0.0094766,           0.0094766
                  11,             0.07446,            0.029897,                   0,               0.467,             0.47619,              0.5342,             0.18542,            0.055033,            0.016773,                   0,            0.009637,            0.009637,            0.009637
                  12,            0.062181,            0.033189,                   0,             0.30851,             0.61259,             0.37668,             0.16859,            0.062234,            0.018874,                   0,            0.009637,            0.009637,            0.009637
