               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11711,            0.026753,            0.037833,                   0,                   0,                   0,                   0,             0.11335,            0.019158,            0.035557,               0.091,               0.001,               0.001
                   1,             0.10738,            0.022851,            0.033369,                   0,                   0,                   0,                   0,             0.11208,             0.01445,            0.030849,            0.081093,           0.0020931,           0.0020931
                   2,            0.099551,            0.021973,             0.02786,          0.00044116,             0.17029,          0.00034488,          5.0158e-05,             0.10019,            0.012315,            0.022156,            0.071179,           0.0031789,           0.0031789
                   3,            0.087941,             0.02117,            0.019288,          0.00087758,             0.23611,           0.0011341,          0.00028845,            0.088983,            0.011253,            0.016376,            0.061257,           0.0042574,           0.0042574
                   4,            0.080144,            0.022109,            0.013776,           0.0004414,             0.22222,           0.0012996,           0.0002096,            0.090957,           0.0097999,            0.014484,            0.051329,           0.0053287,           0.0053287
                   5,            0.083515,            0.018749,            0.011503,           0.0010384,             0.34722,           0.0014734,          0.00026164,               0.084,            0.009685,            0.014881,            0.041393,           0.0063927,           0.0063927
                   6,            0.078036,            0.020186,            0.010265,           0.0010081,             0.41667,           0.0039001,          0.00086813,            0.090862,           0.0094578,            0.012632,             0.03145,           0.0074495,           0.0074495
                   7,            0.069695,            0.019165,           0.0090515,            0.023494,             0.33333,            0.048884,            0.025762,              0.1076,            0.008149,             0.01043,            0.021499,            0.008499,            0.008499
                   8,             0.08083,            0.016995,           0.0085373,           0.0097212,             0.65278,            0.035068,            0.008762,             0.08667,           0.0094632,             0.01448,            0.011541,           0.0095413,           0.0095413
                   9,            0.075754,             0.01777,           0.0094239,             0.33849,            0.027778,            0.013688,           0.0072949,             0.10266,           0.0084664,           0.0097828,            0.009703,            0.009703,            0.009703
                  10,            0.073575,            0.017942,           0.0090179,           0.0049525,             0.81944,            0.017434,           0.0032985,            0.085495,           0.0098033,            0.016323,            0.009703,            0.009703,            0.009703
                  11,            0.061546,            0.018152,           0.0078429,             0.33764,            0.027778,            0.057174,            0.014751,            0.079536,             0.01099,            0.025054,             0.00967,             0.00967,             0.00967
                  12,            0.059969,            0.019019,           0.0072482,              0.7819,            0.013889,              0.1197,            0.046843,            0.085564,           0.0087498,            0.023284,            0.009637,            0.009637,            0.009637
                  13,            0.058485,            0.018616,           0.0060926,             0.72563,            0.027778,             0.05995,            0.021831,            0.071729,           0.0092331,            0.023131,            0.009604,            0.009604,            0.009604
                  14,            0.056873,            0.016876,           0.0054757,           0.0076667,                0.75,            0.067518,            0.017927,            0.081969,           0.0083906,            0.026896,            0.009571,            0.009571,            0.009571
