               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11863,            0.038398,                   0,             0.22453,              0.1802,             0.15605,            0.035912,            0.088006,            0.035762,                   0,              0.0874,              0.0014,              0.0014
                   1,            0.086729,            0.042778,                   0,             0.48502,             0.67921,             0.56147,              0.2686,            0.066882,            0.029589,                   0,             0.07389,           0.0028904,           0.0028904
                   2,            0.074806,            0.036138,                   0,             0.61307,             0.78614,             0.75993,             0.32567,            0.069133,            0.027849,                   0,            0.060371,            0.004371,            0.004371
                   3,            0.071504,            0.029235,                   0,              0.4436,             0.65347,             0.49882,              0.1994,            0.072797,              0.0271,                   0,            0.046842,           0.0058416,           0.0058416
                   4,            0.068858,            0.026659,                   0,             0.61311,             0.85981,             0.74363,             0.36362,            0.057355,            0.017114,                   0,            0.033302,           0.0073023,           0.0073023
                   5,            0.066958,            0.025613,                   0,             0.55427,             0.64158,             0.57558,             0.13264,            0.083867,            0.017829,                   0,            0.019753,           0.0087532,           0.0087532
                   6,            0.068748,            0.022367,                   0,              0.8641,             0.76634,             0.88263,             0.28673,            0.063581,            0.017349,                   0,            0.009802,            0.009802,            0.009802
                   7,             0.05552,            0.024465,                   0,             0.51675,             0.81584,             0.66563,             0.30873,            0.054117,            0.016672,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.052171,            0.023293,                   0,              0.2684,             0.86139,             0.29056,             0.15948,            0.062578,            0.018508,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.050944,            0.022716,                   0,             0.73849,             0.86931,             0.85364,             0.57696,            0.046165,            0.013132,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.044505,             0.02113,                   0,             0.76569,             0.81188,             0.89523,             0.59347,            0.040569,            0.015176,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.045355,            0.020109,                   0,             0.49565,             0.86987,             0.53539,             0.31096,            0.041987,            0.015375,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.041372,            0.020601,                   0,             0.78528,             0.87921,             0.93105,             0.57301,            0.047171,            0.013055,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.044829,            0.019868,                   0,              0.8763,             0.96634,             0.96415,             0.60117,            0.038075,            0.012502,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.03832,            0.019975,                   0,             0.96886,              0.9703,             0.98054,             0.72028,            0.027836,             0.01127,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.035658,            0.019119,                   0,             0.96636,              0.9703,             0.98623,             0.74506,            0.027534,             0.01096,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.033809,            0.017917,                   0,             0.98597,             0.97398,             0.99009,             0.67733,            0.029199,            0.011908,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.035304,            0.019417,                   0,             0.99394,             0.97374,             0.99225,              0.7524,            0.022836,            0.010359,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.029826,            0.017397,                   0,             0.99186,             0.97624,             0.99324,             0.71211,            0.031708,            0.010597,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.030651,            0.017342,                   0,             0.99323,             0.97426,             0.99261,             0.80639,            0.023362,           0.0097614,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.02903,            0.016513,                   0,             0.98962,             0.97228,             0.99325,             0.80292,             0.02589,            0.010022,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.030547,            0.015801,                   0,             0.99591,             0.96392,             0.99346,             0.75107,            0.031579,            0.010449,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.031579,            0.017766,                   0,             0.99394,             0.97362,             0.99306,             0.73891,            0.027218,            0.010051,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.033002,            0.016216,                   0,             0.99011,             0.96238,             0.99175,             0.86641,            0.022562,            0.009911,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.026936,            0.016303,                   0,             0.99193,             0.97406,             0.99207,             0.78685,            0.024211,           0.0098682,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.028287,            0.016878,                   0,             0.99662,              0.9703,              0.9912,             0.90017,            0.022045,           0.0092268,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.024801,            0.016296,                   0,             0.99594,             0.97189,             0.99289,             0.84206,            0.021467,           0.0095564,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.026065,             0.01494,                   0,             0.99594,             0.97208,             0.99221,             0.89284,            0.017172,           0.0083818,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.023706,            0.015533,                   0,             0.99595,             0.97377,             0.99264,             0.87866,             0.01822,           0.0085828,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.024386,            0.014753,                   0,             0.99556,             0.97624,             0.99384,             0.84527,            0.020342,           0.0088267,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.023373,            0.015097,                   0,             0.99343,             0.97426,             0.99438,             0.78721,            0.021239,           0.0087366,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.027033,            0.016488,                   0,             0.99198,             0.97942,             0.99436,             0.90241,            0.018307,           0.0086001,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.026673,            0.015675,                   0,             0.99394,             0.97368,             0.99411,             0.82563,            0.025455,            0.009327,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.027568,            0.016383,                   0,             0.99594,             0.97217,             0.98575,             0.76109,            0.021501,            0.011191,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.022725,            0.015661,                   0,             0.99357,             0.97426,             0.99291,             0.87131,            0.018326,           0.0092186,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.023981,            0.014491,                   0,             0.99197,             0.97806,             0.99389,             0.87203,            0.014967,           0.0083313,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.022462,            0.014695,                   0,             0.99744,             0.97624,             0.99459,             0.78951,            0.021789,           0.0090266,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.024211,            0.015017,                   0,                   1,             0.97221,             0.99356,             0.87565,            0.019122,           0.0090273,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.021513,            0.015323,                   0,             0.99395,             0.97562,             0.99411,             0.90427,            0.017956,           0.0079849,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.023223,            0.014275,                   0,             0.99704,             0.97228,             0.99402,             0.90907,            0.016545,            0.008128,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.02245,            0.013791,                   0,             0.99394,             0.97367,             0.99385,             0.84392,            0.017302,           0.0082182,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.02369,            0.014359,                   0,             0.99002,             0.98258,             0.99476,             0.89533,            0.018798,           0.0087273,                   0,             0.00868,             0.00868,             0.00868
