               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11201,            0.040223,            0.038335,           0.0027677,             0.33311,           0.0026978,          0.00062904,             0.10241,            0.044303,            0.035674,              0.0874,              0.0014,              0.0014
                   1,             0.09907,            0.041056,            0.032149,           0.0038546,             0.47191,            0.016999,           0.0033994,            0.092896,            0.044507,            0.031259,             0.07389,           0.0028904,           0.0028904
                   2,            0.088245,            0.041836,            0.027642,            0.031092,              0.3255,            0.024834,           0.0061172,            0.089295,             0.04053,             0.02499,            0.060371,            0.004371,            0.004371
                   3,            0.082348,            0.040729,            0.021718,             0.34421,             0.12518,            0.010183,           0.0021386,            0.091219,            0.037707,             0.01948,            0.046842,           0.0058416,           0.0058416
                   4,            0.081967,            0.039254,            0.020135,             0.48767,             0.16383,              0.1104,            0.040131,            0.078917,            0.038081,            0.016047,            0.033302,           0.0073023,           0.0073023
                   5,            0.076451,            0.039147,            0.017129,             0.35629,             0.10408,            0.021609,           0.0053642,            0.086395,            0.035832,            0.018533,            0.019753,           0.0087532,           0.0087532
                   6,            0.080595,            0.034571,            0.014103,             0.14893,             0.28846,            0.088134,            0.020546,            0.088398,            0.039666,            0.018124,            0.009802,            0.009802,            0.009802
                   7,             0.07275,            0.036753,            0.014198,              0.1475,             0.29416,             0.14049,            0.044879,            0.075898,            0.056592,            0.014994,            0.009802,            0.009802,            0.009802
                   8,            0.069867,            0.035737,            0.012609,             0.19801,             0.46758,             0.26029,            0.068372,            0.080141,            0.054928,           0.0096294,            0.009769,            0.009769,            0.009769
                   9,            0.069234,            0.034007,            0.010089,             0.12288,             0.41301,             0.17308,            0.076493,            0.072879,            0.052234,           0.0081929,            0.009736,            0.009736,            0.009736
                  10,            0.065556,            0.031779,           0.0093594,             0.17978,             0.37384,             0.19523,            0.082005,            0.072743,            0.043638,           0.0095904,            0.009703,            0.009703,            0.009703
                  11,            0.064196,             0.03229,           0.0091444,             0.18804,             0.55724,             0.27014,            0.095269,            0.059948,            0.039883,           0.0078079,             0.00967,             0.00967,             0.00967
                  12,            0.055486,            0.034526,           0.0071682,             0.27432,             0.42245,              0.3025,              0.0837,            0.061802,            0.053257,           0.0071582,            0.009637,            0.009637,            0.009637
                  13,            0.057153,            0.032058,           0.0061106,             0.42321,             0.42427,             0.41307,             0.15816,            0.055726,            0.044318,           0.0050834,            0.009604,            0.009604,            0.009604
                  14,            0.054669,            0.030454,           0.0055035,             0.53282,             0.63193,             0.56988,             0.20666,            0.055459,            0.032242,           0.0049172,            0.009571,            0.009571,            0.009571
                  15,            0.050302,            0.029901,           0.0060749,             0.41327,             0.72455,             0.55561,             0.23814,            0.050185,            0.031351,           0.0044129,            0.009538,            0.009538,            0.009538
                  16,            0.051599,            0.029081,           0.0060202,             0.33689,             0.69134,             0.43765,             0.18819,            0.052004,            0.030749,           0.0036951,            0.009505,            0.009505,            0.009505
                  17,            0.051249,            0.028878,           0.0050644,             0.48013,             0.59962,             0.52684,             0.23573,            0.049136,            0.033265,            0.004749,            0.009472,            0.009472,            0.009472
                  18,            0.045809,            0.028929,           0.0051586,             0.37462,             0.60718,             0.42405,             0.14581,            0.054821,            0.032224,           0.0048201,            0.009439,            0.009439,            0.009439
                  19,            0.052497,            0.027481,           0.0044662,             0.57955,             0.62062,             0.57234,              0.2542,            0.048843,            0.034628,           0.0068714,            0.009406,            0.009406,            0.009406
                  20,            0.045381,            0.028235,            0.005233,             0.67109,             0.69277,             0.70141,             0.30657,            0.047885,            0.030173,           0.0058339,            0.009373,            0.009373,            0.009373
                  21,            0.046381,            0.027964,            0.004774,             0.69145,             0.71821,             0.75287,             0.33995,            0.047197,            0.027677,           0.0041301,             0.00934,             0.00934,             0.00934
                  22,            0.045226,            0.028182,           0.0042483,             0.81117,             0.75764,             0.85955,              0.4003,            0.042865,            0.025118,           0.0031961,            0.009307,            0.009307,            0.009307
                  23,            0.044229,            0.025831,           0.0036458,               0.761,             0.79562,             0.81853,             0.44399,            0.037966,            0.024434,           0.0028481,            0.009274,            0.009274,            0.009274
                  24,            0.041887,            0.027296,           0.0032665,             0.79227,             0.72044,             0.80214,             0.37251,            0.041019,            0.027611,           0.0030311,            0.009241,            0.009241,            0.009241
                  25,            0.041039,            0.027279,           0.0034638,             0.73089,             0.73725,             0.79031,             0.42308,            0.042705,            0.024715,           0.0030651,            0.009208,            0.009208,            0.009208
                  26,            0.042429,            0.026596,           0.0033499,              0.7952,             0.76974,             0.82243,             0.36105,            0.044363,             0.02309,           0.0029899,            0.009175,            0.009175,            0.009175
                  27,            0.039471,            0.025302,           0.0031499,             0.79511,             0.80725,             0.85416,             0.43316,            0.038994,            0.023602,            0.002307,            0.009142,            0.009142,            0.009142
                  28,             0.04373,            0.025019,           0.0027655,              0.6973,              0.8218,             0.80565,              0.3362,            0.043575,            0.023435,           0.0019826,            0.009109,            0.009109,            0.009109
                  29,            0.045333,             0.02575,           0.0030469,             0.86755,             0.79779,             0.89673,             0.47885,            0.037088,              0.0229,           0.0018862,            0.009076,            0.009076,            0.009076
                  30,             0.03731,            0.026409,            0.002887,             0.68642,             0.80471,              0.8263,             0.40175,            0.039965,            0.023174,           0.0019481,            0.009043,            0.009043,            0.009043
                  31,            0.037007,            0.024398,           0.0024478,             0.86725,             0.83542,             0.91219,             0.49682,            0.034992,            0.022981,           0.0021047,             0.00901,             0.00901,             0.00901
                  32,             0.04131,            0.026022,            0.002637,             0.71508,             0.79646,             0.82432,              0.4243,            0.039017,            0.023375,           0.0023385,            0.008977,            0.008977,            0.008977
                  33,            0.039107,            0.024176,           0.0027105,             0.78829,             0.82684,             0.85565,             0.45171,            0.034621,            0.022444,            0.001543,            0.008944,            0.008944,            0.008944
                  34,            0.037801,            0.024905,           0.0026693,             0.90667,             0.83671,             0.92953,             0.50796,            0.034394,            0.022482,           0.0017901,            0.008911,            0.008911,            0.008911
                  35,            0.035591,            0.023008,           0.0025854,              0.7513,             0.80025,              0.7675,             0.42562,              0.0387,             0.02242,           0.0018709,            0.008878,            0.008878,            0.008878
                  36,            0.038568,            0.024446,           0.0026783,             0.86989,             0.86003,              0.9068,             0.47649,            0.037224,            0.020741,           0.0015993,            0.008845,            0.008845,            0.008845
                  37,            0.037605,              0.0228,           0.0025863,             0.82785,             0.86967,             0.90744,             0.54422,            0.033267,            0.020352,           0.0015243,            0.008812,            0.008812,            0.008812
                  38,            0.036579,            0.023674,           0.0025625,             0.91316,             0.88752,             0.94701,             0.54294,            0.036773,            0.019845,           0.0013675,            0.008779,            0.008779,            0.008779
                  39,            0.035233,            0.024278,           0.0024013,             0.82967,             0.84975,             0.89821,             0.47139,             0.03902,             0.02099,            0.001349,            0.008746,            0.008746,            0.008746
                  40,            0.036578,            0.023672,            0.002336,             0.88264,             0.91499,             0.96262,             0.57863,            0.032017,            0.020032,           0.0013551,            0.008713,            0.008713,            0.008713
                  41,            0.034356,            0.023177,           0.0023905,             0.85419,             0.83398,             0.91552,              0.4787,            0.034823,            0.022302,           0.0021917,             0.00868,             0.00868,             0.00868
                  42,            0.035901,            0.022202,            0.002231,             0.74022,             0.79276,              0.7721,             0.36964,            0.040038,            0.025486,           0.0023892,            0.008647,            0.008647,            0.008647
                  43,            0.035156,            0.023883,           0.0025835,             0.85863,              0.8615,             0.93893,             0.59547,             0.03101,            0.020279,           0.0012548,            0.008614,            0.008614,            0.008614
                  44,            0.035381,            0.021678,           0.0022837,             0.69441,             0.90287,             0.87728,              0.4868,             0.03407,            0.020566,           0.0014152,            0.008581,            0.008581,            0.008581
                  45,            0.036875,             0.02362,           0.0023371,             0.86011,             0.87434,             0.93994,             0.60602,            0.031919,            0.019909,           0.0014691,            0.008548,            0.008548,            0.008548
                  46,            0.032152,            0.022048,           0.0021164,             0.91522,             0.91427,             0.96407,             0.62726,            0.029929,            0.019184,           0.0012286,            0.008515,            0.008515,            0.008515
                  47,            0.035728,            0.022248,           0.0020181,             0.94029,             0.89455,             0.95875,             0.57452,            0.031232,            0.019805,           0.0012221,            0.008482,            0.008482,            0.008482
                  48,            0.037559,            0.021549,           0.0020378,             0.94051,             0.91197,             0.96676,             0.58858,            0.029855,            0.019042,           0.0012961,            0.008449,            0.008449,            0.008449
                  49,            0.034976,            0.022999,           0.0019933,             0.92166,             0.92928,             0.97336,             0.58539,             0.03136,            0.019222,           0.0012648,            0.008416,            0.008416,            0.008416
                  50,            0.031636,            0.022095,           0.0019976,             0.91446,             0.91006,             0.96585,             0.58366,            0.030059,            0.019159,           0.0012574,            0.008383,            0.008383,            0.008383
                  51,            0.030814,             0.02124,           0.0020626,             0.93582,             0.87967,             0.96673,             0.59409,             0.02952,            0.019817,           0.0011801,             0.00835,             0.00835,             0.00835
                  52,            0.035022,            0.022232,           0.0020955,             0.92786,              0.8689,             0.95939,             0.54145,            0.036591,            0.019707,           0.0011463,            0.008317,            0.008317,            0.008317
                  53,            0.034848,            0.021439,           0.0021284,             0.93701,             0.93442,             0.98005,             0.65129,            0.029678,            0.018175,           0.0012317,            0.008284,            0.008284,            0.008284
                  54,            0.032727,            0.022058,           0.0019021,             0.89123,             0.90762,             0.94881,             0.60709,             0.03043,            0.018275,           0.0013194,            0.008251,            0.008251,            0.008251
                  55,             0.03092,             0.02043,           0.0018815,             0.91263,             0.91272,             0.96232,             0.59911,            0.030249,            0.019243,           0.0013489,            0.008218,            0.008218,            0.008218
                  56,            0.032807,            0.022784,           0.0019336,              0.9328,             0.92486,             0.97325,             0.62723,            0.028931,            0.018529,           0.0010195,            0.008185,            0.008185,            0.008185
                  57,            0.030855,            0.020841,           0.0018827,             0.92066,              0.9177,             0.96851,             0.64466,            0.028702,            0.017861,           0.0010284,            0.008152,            0.008152,            0.008152
                  58,             0.02972,            0.019256,           0.0016327,             0.94368,             0.90598,             0.96331,             0.61398,            0.029619,            0.018675,           0.0010716,            0.008119,            0.008119,            0.008119
                  59,            0.030454,            0.021229,           0.0017458,             0.93178,             0.96347,             0.98316,             0.68016,            0.026654,              0.0174,           0.0010382,            0.008086,            0.008086,            0.008086
                  60,            0.031416,            0.020519,           0.0014715,             0.94776,             0.92358,             0.97908,             0.61512,            0.027073,            0.016856,           0.0010786,            0.008053,            0.008053,            0.008053
                  61,            0.031447,            0.020399,           0.0016174,             0.90687,             0.91611,             0.97434,             0.64483,            0.027742,            0.017642,           0.0010988,             0.00802,             0.00802,             0.00802
                  62,            0.029617,            0.021279,           0.0018126,              0.9403,             0.97101,             0.98292,             0.59092,            0.026665,            0.016764,           0.0010248,            0.007987,            0.007987,            0.007987
                  63,            0.029698,            0.020436,           0.0015617,             0.90244,             0.95551,             0.96182,             0.57827,            0.028801,            0.016955,          0.00094819,            0.007954,            0.007954,            0.007954
                  64,            0.033397,            0.020959,           0.0015391,             0.94358,              0.9626,              0.9852,              0.5622,            0.031458,            0.017363,           0.0010319,            0.007921,            0.007921,            0.007921
                  65,            0.033603,            0.021058,           0.0021216,             0.92913,             0.95177,             0.97668,             0.61393,            0.027513,            0.017705,            0.001241,            0.007888,            0.007888,            0.007888
                  66,            0.030453,            0.019796,            0.001621,             0.96696,             0.93997,             0.98615,             0.54584,            0.029351,            0.016701,           0.0010668,            0.007855,            0.007855,            0.007855
                  67,            0.030975,            0.019887,           0.0016867,             0.96054,             0.90919,             0.97766,             0.65301,            0.025655,            0.017953,           0.0010794,            0.007822,            0.007822,            0.007822
                  68,            0.030472,             0.01995,           0.0017441,              0.9424,             0.96699,             0.98971,             0.67351,            0.026138,            0.017052,           0.0009364,            0.007789,            0.007789,            0.007789
                  69,            0.031622,            0.019501,           0.0014229,             0.93718,             0.97763,             0.98653,             0.64729,            0.024815,            0.017203,          0.00093482,            0.007756,            0.007756,            0.007756
                  70,            0.027878,            0.020835,           0.0013766,             0.95219,             0.96054,             0.98744,             0.68809,             0.02603,            0.016867,          0.00094846,            0.007723,            0.007723,            0.007723
                  71,            0.026758,            0.019456,           0.0014748,             0.95545,             0.96365,             0.98568,             0.66876,            0.025451,            0.016889,          0.00092671,             0.00769,             0.00769,             0.00769
                  72,            0.028878,            0.018678,           0.0013772,             0.93778,             0.95695,             0.98378,             0.65569,             0.02577,            0.016549,          0.00090772,            0.007657,            0.007657,            0.007657
                  73,            0.030604,             0.02024,           0.0015708,             0.94136,             0.96259,              0.9849,             0.69608,            0.025524,            0.016643,          0.00099899,            0.007624,            0.007624,            0.007624
                  74,            0.026354,            0.019164,           0.0014454,             0.97124,             0.96566,             0.98866,             0.68183,            0.026093,            0.016597,           0.0009513,            0.007591,            0.007591,            0.007591
                  75,            0.027031,             0.02008,           0.0015994,               0.959,             0.97567,             0.98763,             0.67693,            0.024945,            0.016117,          0.00090528,            0.007558,            0.007558,            0.007558
                  76,            0.027224,             0.01914,           0.0012909,             0.94935,             0.96287,              0.9843,             0.68806,            0.024256,            0.016427,          0.00094367,            0.007525,            0.007525,            0.007525
                  77,            0.028899,            0.019087,           0.0013319,             0.94029,              0.9629,             0.98425,             0.68029,            0.025522,            0.016498,           0.0010053,            0.007492,            0.007492,            0.007492
                  78,            0.027107,            0.019179,           0.0015931,             0.96037,             0.95966,             0.98718,             0.71591,            0.022703,            0.015666,          0.00093319,            0.007459,            0.007459,            0.007459
                  79,               0.028,            0.019092,           0.0013319,             0.97382,             0.96555,             0.99101,             0.65414,            0.023889,            0.015909,          0.00093678,            0.007426,            0.007426,            0.007426
                  80,            0.028425,            0.020048,           0.0015235,              0.9727,              0.9604,             0.99087,             0.70089,            0.023542,            0.016066,          0.00094376,            0.007393,            0.007393,            0.007393
                  81,             0.02781,            0.019196,           0.0014085,             0.97384,             0.96078,             0.98911,             0.67084,            0.024593,            0.016329,          0.00087136,             0.00736,             0.00736,             0.00736
                  82,            0.025775,            0.018702,           0.0012729,             0.97632,             0.94323,             0.98377,             0.69469,            0.025947,            0.016406,          0.00080415,            0.007327,            0.007327,            0.007327
                  83,            0.027563,            0.018498,           0.0013562,             0.96445,             0.96771,             0.99155,             0.71581,            0.021636,            0.015244,          0.00082342,            0.007294,            0.007294,            0.007294
                  84,            0.026909,            0.018472,           0.0013433,             0.95412,             0.97941,             0.98987,             0.71136,            0.024345,             0.01596,           0.0008703,            0.007261,            0.007261,            0.007261
                  85,            0.027063,            0.019466,           0.0015649,             0.96727,             0.97102,             0.98892,             0.71739,            0.021292,            0.016024,          0.00091437,            0.007228,            0.007228,            0.007228
                  86,            0.024608,             0.01923,           0.0013065,             0.97778,             0.95954,              0.9852,             0.65479,            0.026314,            0.015944,          0.00089894,            0.007195,            0.007195,            0.007195
                  87,              0.0293,            0.017392,           0.0017008,             0.96908,             0.96945,             0.98421,             0.68122,            0.024512,            0.016518,          0.00082502,            0.007162,            0.007162,            0.007162
                  88,            0.029635,            0.019104,             0.00142,             0.96759,             0.97518,             0.99102,             0.70797,            0.025008,             0.01616,          0.00080566,            0.007129,            0.007129,            0.007129
                  89,            0.029473,            0.019723,           0.0014936,             0.96658,             0.97631,             0.99095,             0.71249,              0.0233,            0.015981,          0.00083444,            0.007096,            0.007096,            0.007096
                  90,            0.025375,            0.019407,           0.0014274,              0.9723,             0.96725,              0.9911,             0.73514,             0.02257,            0.016008,          0.00077711,            0.007063,            0.007063,            0.007063
                  91,            0.027078,            0.019683,           0.0012579,             0.97489,             0.96129,             0.99129,              0.7314,            0.021341,            0.015317,           0.0007863,             0.00703,             0.00703,             0.00703
                  92,            0.025457,            0.017076,           0.0012679,             0.96662,             0.98166,             0.99201,             0.74754,            0.021533,            0.014969,          0.00082275,            0.006997,            0.006997,            0.006997
                  93,            0.025683,            0.019153,           0.0015043,             0.96982,             0.98149,             0.99317,             0.72522,            0.020956,            0.014971,          0.00082238,            0.006964,            0.006964,            0.006964
                  94,            0.024905,            0.017419,           0.0012905,             0.97019,             0.97598,             0.99185,             0.72809,             0.02167,             0.01504,          0.00079184,            0.006931,            0.006931,            0.006931
